,DateTime,Close,WAP,Volume,High,Low,Time Received,Date,same_day
31,20220608  06:35:00,9.83,9.82706,40,9.84,9.77,2022-06-08 16:33:30.240920,2022-06-08,True
32,20220608  06:40:00,9.8,9.83979,54,9.85,9.8,2022-06-08 16:33:30.240920,2022-06-08,True
33,20220608  06:45:00,9.75,9.82532,106,9.85,9.75,2022-06-08 16:33:30.240920,2022-06-08,True
34,20220608  06:50:00,9.7,9.73012,74,9.76,9.7,2022-06-08 16:33:30.240920,2022-06-08,True
35,20220608  06:55:00,9.72,9.74642,75,9.86,9.65,2022-06-08 16:33:30.240920,2022-06-08,True
36,20220608  07:00:00,10.39,10.1409,841,10.48,9.84,2022-06-08 16:33:30.240920,2022-06-08,True
37,20220608  07:05:00,10.75,10.73478,1291,10.95,10.38,2022-06-08 16:33:30.240920,2022-06-08,True
38,20220608  07:10:00,10.74,10.89814,1354,11.25,10.67,2022-06-08 16:33:30.240920,2022-06-08,True
39,20220608  07:15:00,10.32,10.4556,987,10.78,10.26,2022-06-08 16:33:30.240920,2022-06-08,True
40,20220608  07:20:00,10.24,10.11746,787,10.33,9.9,2022-06-08 16:33:30.240920,2022-06-08,True
41,20220608  07:25:00,10.24,10.23208,250,10.36,10.12,2022-06-08 16:33:30.240920,2022-06-08,True
42,20220608  07:30:00,10.19,10.18633,161,10.28,10.12,2022-06-08 16:33:30.240920,2022-06-08,True
43,20220608  07:35:00,10.08,9.95993,366,10.16,9.85,2022-06-08 16:33:30.240920,2022-06-08,True
44,20220608  07:40:00,9.9,9.99271,243,10.1,9.86,2022-06-08 16:33:30.240920,2022-06-08,True
45,20220608  07:45:00,9.75,9.83277,434,10.03,9.67,2022-06-08 16:33:30.241920,2022-06-08,True
46,20220608  07:50:00,9.89,9.83237,364,9.93,9.71,2022-06-08 16:33:30.241920,2022-06-08,True
47,20220608  07:55:00,9.88,9.83956,250,9.89,9.77,2022-06-08 16:33:30.241920,2022-06-08,True
48,20220608  08:00:00,10.0,10.07864,3254,10.64,9.67,2022-06-08 16:33:30.241920,2022-06-08,True
49,20220608  08:05:00,9.89,10.35186,1296,10.9,9.86,2022-06-08 16:33:30.241920,2022-06-08,True
50,20220608  08:10:00,10.41,10.37173,2034,10.7,9.89,2022-06-08 16:33:30.241920,2022-06-08,True
51,20220608  08:15:00,10.55,10.51044,2330,10.65,10.3,2022-06-08 16:33:30.241920,2022-06-08,True
52,20220608  08:20:00,10.93,10.80339,4312,10.96,10.5,2022-06-08 16:33:30.241920,2022-06-08,True
53,20220608  08:25:00,11.4299,11.35007,7882,11.65,10.8,2022-06-08 16:33:30.241920,2022-06-08,True
54,20220608  08:30:00,11.35,11.30982,3301,11.5,11.12,2022-06-08 16:33:30.241920,2022-06-08,True
55,20220608  08:35:00,11.18,11.26939,2346,11.4,11.1,2022-06-08 16:33:30.241920,2022-06-08,True
56,20220608  08:40:00,10.98,11.11377,3942,11.4,10.85,2022-06-08 16:33:30.241920,2022-06-08,True
57,20220608  08:45:00,11.0,11.00305,1438,11.1,10.9,2022-06-08 16:33:30.241920,2022-06-08,True
58,20220608  08:50:00,10.97,11.02717,1935,11.25,10.83,2022-06-08 16:33:30.241920,2022-06-08,True
59,20220608  08:55:00,11.27,11.08851,1816,11.32,10.85,2022-06-08 16:33:30.241920,2022-06-08,True
60,20220608  09:00:00,11.4,11.3424,3121,11.52,11.15,2022-06-08 16:33:30.241920,2022-06-08,True
61,20220608  09:05:00,11.73,11.78203,8491,11.95,11.4,2022-06-08 16:33:30.241920,2022-06-08,True
62,20220608  09:10:00,11.9,11.84553,5582,11.95,11.67,2022-06-08 16:33:30.241920,2022-06-08,True
63,20220608  09:15:00,11.42,11.72584,6098,11.92,11.33,2022-06-08 16:33:30.242912,2022-06-08,True
64,20220608  09:20:00,11.31,11.35056,2419,11.46,11.23,2022-06-08 16:33:30.242912,2022-06-08,True
65,20220608  09:25:00,11.0,11.20192,2087,11.38,11.0,2022-06-08 16:33:30.242912,2022-06-08,True
66,20220608  09:30:00,10.51,10.55831,26590,11.33,10.04,2022-06-08 16:33:30.242912,2022-06-08,True
67,20220608  09:35:00,10.0205,9.9948,20277,10.55,9.7,2022-06-08 16:33:30.242912,2022-06-08,True
68,20220608  09:40:00,10.0342,10.34493,20777,10.7,9.91,2022-06-08 16:33:30.242912,2022-06-08,True
69,20220608  09:45:00,9.88,9.67722,16030,10.08,9.42,2022-06-08 16:33:30.242912,2022-06-08,True
70,20220608  09:50:00,9.84,9.67453,13445,10.0,9.25,2022-06-08 16:33:30.242912,2022-06-08,True
71,20220608  09:55:00,10.08,10.18271,16134,10.4011,9.8101,2022-06-08 16:33:30.242912,2022-06-08,True
72,20220608  10:00:00,9.7011,9.97566,12731,10.33,9.4,2022-06-08 16:33:30.242912,2022-06-08,True
73,20220608  10:05:00,10.1,9.97152,8532,10.19,9.71,2022-06-08 16:33:30.242912,2022-06-08,True
74,20220608  10:10:00,10.87,10.59494,25533,11.07,10.02,2022-06-08 16:33:30.242912,2022-06-08,True
75,20220608  10:15:00,10.6576,10.73878,14744,10.97,10.52,2022-06-08 16:33:30.242912,2022-06-08,True
76,20220608  10:20:00,12.12,11.40587,22701,12.12,10.62,2022-06-08 16:33:30.242912,2022-06-08,True
77,20220608  10:25:00,11.63,12.16188,31105,12.76,11.5,2022-06-08 16:33:30.242912,2022-06-08,True
78,20220608  10:30:00,11.4637,11.39003,27314,11.93,10.92,2022-06-08 16:33:30.242912,2022-06-08,True
79,20220608  10:35:00,10.3215,10.58753,22376,11.5399,10.08,2022-06-08 16:33:30.242912,2022-06-08,True
80,20220608  10:40:00,10.23,10.24443,11261,10.47,10.0,2022-06-08 16:33:30.242912,2022-06-08,True
