,DateTime,Close,WAP,Volume,High,Low,Time Received
377,20220503  10:17:00,6.995,7.01166,281,7.05,6.9602,2022-05-03 18:30:28.007169
378,20220503  10:18:00,7.0501,7.04698,617,7.09,6.9918,2022-05-03 18:30:28.007169
379,20220503  10:19:00,7.16,7.1385,1457,7.2,7.052,2022-05-03 18:30:28.008159
380,20220503  10:20:00,7.0927,7.12735,467,7.17,7.08,2022-05-03 18:30:28.008159
381,20220503  10:21:00,6.8753,6.92618,2172,7.1,6.81,2022-05-03 18:30:28.008159
382,20220503  10:22:00,6.93,6.86462,1110,6.93,6.8111,2022-05-03 18:30:28.008159
383,20220503  10:23:00,6.934,6.94555,789,7.0,6.88,2022-05-03 18:30:28.008159
384,20220503  10:24:00,6.94,6.98476,369,7.04,6.9311,2022-05-03 18:30:28.008159
385,20220503  10:25:00,6.9219,6.93564,190,6.95,6.9201,2022-05-03 18:30:28.008159
386,20220503  10:26:00,7.045,7.01426,556,7.06,6.92,2022-05-03 18:30:28.008159
387,20220503  10:27:00,7.0632,7.06446,440,7.09,7.03,2022-05-03 18:30:28.008159
388,20220503  10:28:00,7.06,7.07826,466,7.1,7.05,2022-05-03 18:30:28.008159
389,20220503  10:29:00,6.9981,7.00494,519,7.0551,6.97,2022-05-03 18:30:28.008159
390,20220503  10:30:00,6.965,6.94326,857,7.02,6.9,2022-05-03 18:30:28.008159
391,20220503  10:31:00,6.9301,6.95702,214,6.98,6.93,2022-05-03 18:30:28.008159
392,20220503  10:32:00,7.0,6.96138,327,7.02,6.9301,2022-05-03 18:30:28.008159
393,20220503  10:33:00,7.0227,7.02561,486,7.05,7.0,2022-05-03 18:30:28.008159
394,20220503  10:34:00,6.9913,6.9837,572,7.04,6.95,2022-05-03 18:30:28.008159
395,20220503  10:35:00,7.205,7.11351,2188,7.25,6.97,2022-05-03 18:30:28.008159
396,20220503  10:36:00,7.27,7.24638,2460,7.3,7.1744,2022-05-03 18:30:28.008159
397,20220503  10:37:00,7.1296,7.16807,1192,7.2798,7.1,2022-05-03 18:30:28.008159
398,20220503  10:38:00,7.0101,7.08184,951,7.16,7.01,2022-05-03 18:30:28.008159
399,20220503  10:39:00,7.025,6.97811,1235,7.07,6.9,2022-05-03 18:30:28.008159
400,20220503  10:40:00,7.0723,7.04208,447,7.1,7.01,2022-05-03 18:30:28.009157
401,20220503  10:41:00,7.08,7.08464,463,7.14,7.0301,2022-05-03 18:30:28.009157
402,20220503  10:42:00,7.0107,7.06414,325,7.09,7.0107,2022-05-03 18:30:28.009157
403,20220503  10:43:00,7.0799,7.04389,390,7.0799,7.02,2022-05-03 18:30:28.009157
404,20220503  10:44:00,7.11,7.08829,380,7.13,7.07,2022-05-03 18:30:28.009157
405,20220503  10:45:00,7.1801,7.14919,1130,7.2,7.09,2022-05-03 18:30:28.009157
406,20220503  10:46:00,7.0948,7.13514,447,7.18,7.0948,2022-05-03 18:30:28.009157
407,20220503  10:47:00,7.0843,7.08763,367,7.13,7.07,2022-05-03 18:30:28.009157
408,20220503  10:48:00,7.08,7.08704,76,7.12,7.07,2022-05-03 18:30:28.009157
409,20220503  10:49:00,7.08,7.09574,220,7.125,7.0701,2022-05-03 18:30:28.009157
410,20220503  10:50:00,7.13,7.11274,232,7.13,7.0911,2022-05-03 18:30:28.009157
411,20220503  10:51:00,7.1591,7.13578,330,7.16,7.11,2022-05-03 18:30:28.009157
412,20220503  10:52:00,7.1399,7.13472,288,7.16,7.11,2022-05-03 18:30:28.009157
413,20220503  10:53:00,6.97,7.06274,922,7.12,6.97,2022-05-03 18:30:28.009157
414,20220503  10:54:00,7.035,7.01295,707,7.05,6.97,2022-05-03 18:30:28.009157
415,20220503  10:55:00,7.018,7.0125,138,7.0372,6.98,2022-05-03 18:30:28.009157
416,20220503  10:56:00,7.02,7.01478,178,7.04,7.0,2022-05-03 18:30:28.010155
417,20220503  10:57:00,7.0046,7.02764,258,7.06,7.0,2022-05-03 18:30:28.010155
418,20220503  10:58:00,6.975,6.99026,304,7.01,6.96,2022-05-03 18:30:28.010155
419,20220503  10:59:00,6.9613,6.98251,183,7.0,6.96,2022-05-03 18:30:28.010155
420,20220503  11:00:00,6.855,6.90244,1214,6.9662,6.85,2022-05-03 18:30:28.010155
421,20220503  11:01:00,6.71,6.75898,2905,6.8591,6.7,2022-05-03 18:30:28.010155
422,20220503  11:02:00,6.79,6.75157,1176,6.84,6.7,2022-05-03 18:30:28.010155
423,20220503  11:03:00,6.71,6.74565,629,6.8,6.7,2022-05-03 18:30:28.010155
424,20220503  11:04:00,6.7201,6.72342,845,6.78,6.7,2022-05-03 18:30:28.010155
425,20220503  11:05:00,6.73,6.73798,609,6.76,6.71,2022-05-03 18:30:28.010155
426,20220503  11:06:00,6.6467,6.66312,1170,6.7464,6.61,2022-05-03 18:30:28.010155
427,20220503  11:07:00,6.6297,6.65465,840,6.68,6.62,2022-05-03 18:30:28.010155
428,20220503  11:08:00,6.66,6.63757,1177,6.7,6.6,2022-05-03 18:30:28.010155
429,20220503  11:09:00,6.6,6.6157,947,6.67,6.6,2022-05-03 18:30:28.010155
430,20220503  11:10:00,6.6299,6.61375,727,6.64,6.6,2022-05-03 18:30:28.010155
431,20220503  11:11:00,6.5841,6.58123,1082,6.6299,6.55,2022-05-03 18:30:28.010155
432,20220503  11:12:00,6.658,6.65208,1742,6.725,6.57,2022-05-03 18:30:28.010155
433,20220503  11:13:00,6.68,6.6797,868,6.73,6.61,2022-05-03 18:30:28.010155
434,20220503  11:14:00,6.715,6.71127,1261,6.76,6.6501,2022-05-03 18:30:28.010155
435,20220503  11:15:00,6.6499,6.68128,962,6.76,6.61,2022-05-03 18:30:28.010155
436,20220503  11:16:00,6.61,6.6371,531,6.69,6.6,2022-05-03 18:30:28.010155
437,20220503  11:17:00,6.6199,6.60844,617,6.648,6.57,2022-05-03 18:30:28.011150
438,20220503  11:18:00,6.6411,6.62664,682,6.664,6.58,2022-05-03 18:30:28.011150
439,20220503  11:19:00,6.6153,6.59465,432,6.65,6.56,2022-05-03 18:30:28.011150
440,20220503  11:20:00,6.6,6.59742,277,6.62,6.5707,2022-05-03 18:30:28.011150
441,20220503  11:21:00,6.58,6.57654,332,6.6,6.56,2022-05-03 18:30:28.011150
442,20220503  11:22:00,6.5551,6.57178,277,6.6,6.55,2022-05-03 18:30:28.011150
443,20220503  11:23:00,6.5099,6.50946,1846,6.5598,6.48,2022-05-03 18:30:28.011150
444,20220503  11:24:00,6.5873,6.55217,579,6.6,6.5001,2022-05-03 18:30:28.011150
445,20220503  11:25:00,6.645,6.62148,1017,6.67,6.57,2022-05-03 18:30:28.011150
446,20220503  11:26:00,6.6391,6.63526,702,6.67,6.5841,2022-05-03 18:30:28.011150
447,20220503  11:27:00,6.64,6.63756,141,6.65,6.6201,2022-05-03 18:30:28.011150
448,20220503  11:28:00,6.7,6.68067,1072,6.73,6.64,2022-05-03 18:30:28.011150
449,20220503  11:29:00,6.7,6.69357,625,6.7161,6.66,2022-05-03 18:30:28.011150
450,20220503  11:30:00,6.68,6.67336,317,6.7,6.64,2022-05-03 18:30:28.011150
451,20220503  11:31:00,6.6841,6.69079,126,6.72,6.6701,2022-05-03 18:30:28.011150
452,20220503  11:32:00,6.675,6.7074,636,6.73,6.66,2022-05-03 18:30:28.011150
453,20220503  11:33:00,6.67,6.66799,171,6.69,6.65,2022-05-03 18:30:28.011150
454,20220503  11:34:00,6.645,6.64331,195,6.67,6.62,2022-05-03 18:30:28.011150
455,20220503  11:35:00,6.5911,6.5887,282,6.65,6.57,2022-05-03 18:30:28.011150
456,20220503  11:36:00,6.635,6.6196,430,6.6399,6.6,2022-05-03 18:30:28.011150
457,20220503  11:37:00,6.61,6.61804,128,6.64,6.6,2022-05-03 18:30:28.011150
458,20220503  11:38:00,6.6,6.60204,124,6.61,6.59,2022-05-03 18:30:28.011150
459,20220503  11:39:00,6.635,6.62016,113,6.65,6.592,2022-05-03 18:30:28.012149
460,20220503  11:40:00,6.69,6.70985,619,6.77,6.6327,2022-05-03 18:30:28.012149
461,20220503  11:41:00,6.75,6.72139,433,6.75,6.66,2022-05-03 18:30:28.012149
462,20220503  11:42:00,6.7701,6.78246,707,6.826,6.7391,2022-05-03 18:30:28.012149
463,20220503  11:43:00,6.795,6.77621,707,6.81,6.7403,2022-05-03 18:30:28.012149
464,20220503  11:44:00,6.8299,6.82473,500,6.85,6.78,2022-05-03 18:30:28.012149
465,20220503  11:45:00,6.8291,6.82975,584,6.85,6.7858,2022-05-03 18:30:28.012149
466,20220503  11:46:00,6.7701,6.8074,318,6.84,6.7701,2022-05-03 18:30:28.012149
467,20220503  11:47:00,6.755,6.75232,236,6.78,6.74,2022-05-03 18:30:28.012149
468,20220503  11:48:00,6.949,6.87293,1506,6.96,6.77,2022-05-03 18:30:28.012149
469,20220503  11:49:00,6.96,6.96799,1373,7.0,6.92,2022-05-03 18:30:28.012149
470,20220503  11:50:00,7.0064,6.99449,1448,7.04,6.95,2022-05-03 18:30:28.012149
471,20220503  11:51:00,7.02,7.02769,1320,7.05,6.995,2022-05-03 18:30:28.012149
472,20220503  11:52:00,6.97,6.97727,1157,7.0299,6.93,2022-05-03 18:30:28.012149
473,20220503  11:53:00,6.9608,6.97686,371,7.0,6.96,2022-05-03 18:30:28.012149
474,20220503  11:54:00,6.95,6.93377,424,6.97,6.92,2022-05-03 18:30:28.012149
475,20220503  11:55:00,7.03,6.9923,681,7.03,6.9371,2022-05-03 18:30:28.013145
476,20220503  11:56:00,7.2494,7.12654,2463,7.27,7.01,2022-05-03 18:30:28.013145
477,20220503  11:57:00,7.1797,7.17812,1747,7.264,7.12,2022-05-03 18:30:28.013145
478,20220503  11:58:00,7.275,7.29001,2455,7.42,7.17,2022-05-03 18:30:28.013145
479,20220503  11:59:00,7.3681,7.36106,2022,7.4,7.275,2022-05-03 18:30:28.013145
480,20220503  12:00:00,7.3252,7.29898,1733,7.39,7.18,2022-05-03 18:30:28.013145
481,20220503  12:01:00,7.28,7.32509,1169,7.3784,7.2771,2022-05-03 18:30:28.013145
482,20220503  12:02:00,7.365,7.33148,999,7.38,7.25,2022-05-03 18:30:28.013145
483,20220503  12:03:00,7.4586,7.4742,4237,7.6499,7.32,2022-05-03 18:30:28.013145
484,20220503  12:04:00,7.5857,7.55609,3048,7.66,7.46,2022-05-03 18:30:28.013145
485,20220503  12:05:00,7.62,7.6608,2551,7.76,7.57,2022-05-03 18:30:28.013145
486,20220503  12:06:00,7.54,7.54178,1801,7.64,7.5,2022-05-03 18:30:28.013145
487,20220503  12:07:00,7.55,7.58095,1147,7.62,7.52,2022-05-03 18:30:28.013145
488,20220503  12:08:00,7.38,7.46422,1939,7.55,7.37,2022-05-03 18:30:28.013145
489,20220503  12:09:00,7.43,7.40117,1625,7.45,7.35,2022-05-03 18:30:28.013145
490,20220503  12:10:00,7.24,7.36282,1278,7.45,7.23,2022-05-03 18:30:28.013145
491,20220503  12:11:00,7.3,7.22542,2379,7.3,7.16,2022-05-03 18:30:28.013145
492,20220503  12:12:00,7.29,7.28296,978,7.32,7.23,2022-05-03 18:30:28.013145
