,DateTime,Close,WAP,Volume,High,Low,Time Received,VWAP
376,2022-05-03 10:16:00.000000,6.97,7.01096,344,7.07,6.9501,2022-05-04 00:29:02.160296,7.439646471646474
377,2022-05-03 10:17:00.000000,6.995,7.01166,281,7.05,6.9602,2022-05-04 00:29:02.160296,7.438358208663549
378,2022-05-03 10:18:00.000000,7.0501,7.04698,617,7.09,6.9918,2022-05-04 00:29:02.160296,7.4358270072258765
379,2022-05-03 10:19:00.000000,7.16,7.1385,1457,7.2,7.052,2022-05-04 00:29:02.160296,7.431370690862393
380,2022-05-03 10:20:00.000000,7.0927,7.12735,467,7.17,7.08,2022-05-04 00:29:02.160296,7.429860358963902
381,2022-05-03 10:21:00.000000,6.8753,6.92618,2172,7.1,6.81,2022-05-04 00:29:02.160296,7.41899457259159
382,2022-05-03 10:22:00.000000,6.93,6.86462,1110,6.93,6.8111,2022-05-04 00:29:02.160296,7.413204505535713
383,2022-05-03 10:23:00.000000,6.934,6.94555,789,7.0,6.88,2022-05-04 00:29:02.160296,7.409533373804234
384,2022-05-03 10:24:00.000000,6.94,6.98476,369,7.04,6.9311,2022-05-04 00:29:02.160296,7.4079523736585395
385,2022-05-03 10:25:00.000000,6.9219,6.93564,190,6.95,6.9201,2022-05-04 00:29:02.160296,7.40706928587659
386,2022-05-03 10:26:00.000000,7.045,7.01426,556,7.06,6.92,2022-05-04 00:29:02.160296,7.4049220144121835
387,2022-05-03 10:27:00.000000,7.0632,7.06446,440,7.09,7.03,2022-05-04 00:29:02.160296,7.403462836191324
388,2022-05-03 10:28:00.000000,7.06,7.07826,466,7.1,7.05,2022-05-04 00:29:02.160296,7.401970846775229
389,2022-05-03 10:29:00.000000,6.9981,7.00494,519,7.0551,6.97,2022-05-04 00:29:02.161288,7.400016062073865
390,2022-05-03 10:30:00.000000,6.965,6.94326,857,7.02,6.9,2022-05-04 00:29:02.161288,7.396456197091453
391,2022-05-03 10:31:00.000000,6.9301,6.95702,214,6.98,6.93,2022-05-04 00:29:02.161288,7.39554598330528
392,2022-05-03 10:32:00.000000,7.0,6.96138,327,7.02,6.9301,2022-05-04 00:29:02.161288,7.394275276156718
393,2022-05-03 10:33:00.000000,7.0227,7.02561,486,7.05,7.0,2022-05-04 00:29:02.161288,7.392587505670001
394,2022-05-03 10:34:00.000000,6.9913,6.9837,572,7.04,6.95,2022-05-04 00:29:02.161288,7.390458018986813
395,2022-05-03 10:35:00.000000,7.205,7.11351,2188,7.25,6.97,2022-05-04 00:29:02.161288,7.385478322889512
