,DateTime,Close,WAP,Volume,High,Low,Time Received,VWAP
119,20220429  13:55:00,4.8616,4.81766,4330,4.87,4.76,2022-04-30 19:00:06.607228,4.583165564708325
120,20220429  14:00:00,4.8421,4.84891,3463,4.89,4.81,2022-04-30 19:00:06.607228,4.584735869072708
121,20220429  14:05:00,4.9182,4.91145,6077,4.97,4.845,2022-04-30 19:00:06.607228,4.588104378531312
122,20220429  14:10:00,5.04,4.97525,11089,5.05,4.88,2022-04-30 19:00:06.608225,4.595534432292446
123,20220429  14:15:00,5.1099,5.06172,12473,5.16,4.98,2022-04-30 19:00:06.608225,4.605470850461849
124,20220429  14:20:00,5.3346,5.26556,22723,5.42,5.1,2022-04-30 19:00:06.608225,4.629782291820863
125,20220429  14:25:00,5.105,5.1207,15607,5.335,4.96,2022-04-30 19:00:06.608225,4.6418615480067755
126,20220429  14:30:00,5.34,5.29587,19877,5.43,5.1,2022-04-30 19:00:06.608225,4.661075925566872
127,20220429  14:35:00,5.5317,5.51154,34346,5.68,5.32,2022-04-30 19:00:06.608225,4.7024708160006945
128,20220429  14:40:00,5.59,5.50883,19863,5.65,5.29,2022-04-30 19:00:06.608225,4.724604077094995
129,20220429  14:45:00,5.455,5.54137,16201,5.65,5.37,2022-04-30 19:00:06.608225,4.74137716524947
130,20220429  14:50:00,5.3212,5.31311,12000,5.48,5.16,2022-04-30 19:00:06.608225,4.750605846371805
131,20220429  14:55:00,5.42,5.43082,12488,5.54,5.2806,2022-04-30 19:00:06.608225,4.76142211009318
132,20220429  15:00:00,5.44,5.44857,7693,5.52,5.3501,2022-04-30 19:00:06.608225,4.768141862366297
133,20220429  15:05:00,5.5,5.38694,8883,5.5,5.3,2022-04-30 19:00:06.608225,4.775698343018347
134,20220429  15:10:00,5.61,5.59693,17896,5.7,5.44,2022-04-30 19:00:06.608225,4.793768299994165
135,20220429  15:15:00,5.81,5.78023,27464,5.97,5.56,2022-04-30 19:00:06.608225,4.826507429294124
136,20220429  15:20:00,5.9323,5.98843,33123,6.15,5.79,2022-04-30 19:00:06.608225,4.87004254385608
137,20220429  15:25:00,5.9376,5.96153,22753,6.09,5.75,2022-04-30 19:00:06.608225,4.897242686820651
138,20220429  15:30:00,5.87,5.84621,16407,5.97,5.71,2022-04-30 19:00:06.608225,4.91461904031427
139,20220429  15:35:00,5.5883,5.70099,16180,5.95,5.43,2022-04-30 19:00:06.608225,4.927719424931779
140,20220429  15:40:00,5.689,5.66239,8526,5.74,5.42,2022-04-30 19:00:06.608225,4.9340713016045425
141,20220429  15:45:00,5.58,5.58718,6591,5.7,5.46,2022-04-30 19:00:06.608225,4.938644615341646
142,20220429  15:50:00,5.7782,5.80639,14814,5.98,5.5423,2022-04-30 19:00:06.608225,4.951617602710321
143,20220429  15:55:00,5.98,5.89148,19047,6.04,5.75,2022-04-30 19:00:06.609223,4.9708018284245385
144,20220429  16:00:00,5.75,5.8522,2781,6.01,5.68,2022-04-30 19:00:06.609223,4.973223501518274
145,20220429  16:05:00,5.86,5.82624,1400,5.94,5.75,2022-04-30 19:00:06.609223,4.974490328666406
146,20220429  16:10:00,6.22,6.10431,4467,6.27,5.81,2022-04-30 19:00:06.609223,4.979655301501007
147,20220429  16:15:00,5.96,6.00619,3103,6.22,5.9,2022-04-30 19:00:06.609223,4.982982309216303
148,20220429  16:20:00,5.86,5.8334,1275,5.99,5.71,2022-04-30 19:00:06.609223,4.984117211824068
149,20220429  16:25:00,5.86,5.86102,811,5.95,5.78,2022-04-30 19:00:06.609223,4.984845847443599
150,20220429  16:30:00,5.95,5.87004,442,5.95,5.8,2022-04-30 19:00:06.609223,4.985259003681143
151,20220429  16:35:00,5.92,5.90048,623,5.97,5.85,2022-04-30 19:00:06.609223,4.985849194335082
152,20220429  16:40:00,5.85,5.90133,329,5.95,5.85,2022-04-30 19:00:06.609223,4.9861504938115395
153,20220429  16:45:00,5.84,5.80119,529,5.88,5.73,2022-04-30 19:00:06.609223,4.986598563014711
154,20220429  16:50:00,5.92,5.84365,652,5.92,5.79,2022-04-30 19:00:06.609223,4.987190020421052
155,20220429  16:55:00,5.79,5.83823,453,5.92,5.75,2022-04-30 19:00:06.609223,4.987574343354082
156,20220429  17:00:00,5.83,5.81166,122,5.84,5.78,2022-04-30 19:00:06.609223,4.987677372696975
157,20220429  17:05:00,5.81,5.78756,187,5.83,5.77,2022-04-30 19:00:06.609223,4.987832705833391
158,20220429  17:10:00,5.76,5.77541,171,5.8,5.76,2022-04-30 19:00:06.609223,4.987969473209044
159,20220429  17:15:00,5.75,5.74669,337,5.84,5.72,2022-04-30 19:00:06.609223,4.988237726140275
160,20220429  17:20:00,5.8,5.77273,111,5.82,5.75,2022-04-30 19:00:06.609223,4.9883283015693065
161,20220429  17:25:00,5.79,5.77081,204,5.7999,5.73,2022-04-30 19:00:06.609223,4.988491244607886
162,20220429  17:30:00,5.75,5.77069,85,5.79,5.74,2022-04-30 19:00:06.609223,4.988557967347242
163,20220429  17:35:00,5.8,5.77081,93,5.8,5.74,2022-04-30 19:00:06.610220,4.988632848936186
164,20220429  17:40:00,5.77,5.79539,108,5.81,5.77,2022-04-30 19:00:06.610220,4.988720156628501
165,20220429  17:45:00,5.75,5.76345,91,5.8,5.75,2022-04-30 19:00:06.610220,4.988792163875099
166,20220429  17:50:00,5.8,5.79665,130,5.82,5.75,2022-04-30 19:00:06.610220,4.988898093197285
167,20220429  17:55:00,5.81,5.807,124,5.82,5.78,2022-04-30 19:00:06.610220,4.989000788630115
168,20220429  18:00:00,5.88,5.84274,215,5.89,5.81,2022-04-30 19:00:06.610220,4.989191174261835
169,20220429  18:05:00,5.82,5.81974,182,5.86,5.79,2022-04-30 19:00:06.610220,4.989345489586194
170,20220429  18:10:00,5.8,5.8206,35,5.83,5.8,2022-04-30 19:00:06.610220,4.989374684725435
171,20220429  18:15:00,5.8,5.81188,16,5.83,5.7901,2022-04-30 19:00:06.610220,4.989387976715752
172,20220429  18:20:00,5.77,5.78672,34,5.82,5.77,2022-04-30 19:00:06.610220,4.9894155284631365
173,20220429  18:25:00,5.82,5.78686,57,5.82,5.78,2022-04-30 19:00:06.610220,4.989462872502031
174,20220429  18:30:00,5.77,5.77925,116,5.8,5.77,2022-04-30 19:00:06.610220,4.989556061357443
175,20220429  18:35:00,5.77,5.77221,80,5.8,5.77,2022-04-30 19:00:06.610220,4.98962031673387
176,20220429  18:40:00,5.8,5.77434,33,5.8,5.76,2022-04-30 19:00:06.610220,4.989647042573999
177,20220429  18:45:00,5.79,5.79767,32,5.81,5.79,2022-04-30 19:00:06.610220,4.989673281968072
178,20220429  18:50:00,5.8,5.79625,15,5.8,5.78,2022-04-30 19:00:06.610220,4.9896855302944125
179,20220429  18:55:00,5.76,5.7698,158,5.79,5.76,2022-04-30 19:00:06.610220,4.9898107781048955
180,20220429  19:00:00,5.74,5.75125,256,5.79,5.74,2022-04-30 19:00:06.610220,4.99001015929633
181,20220429  19:05:00,5.79,5.7772,44,5.79,5.76,2022-04-30 19:00:06.610220,4.990045460152651
182,20220429  19:10:00,5.79,5.77564,64,5.79,5.76,2022-04-30 19:00:06.610220,4.99009680122132
183,20220429  19:15:00,5.73,5.74338,122,5.78,5.71,2022-04-30 19:00:06.611218,4.990189696590626
184,20220429  19:20:00,5.74,5.72988,56,5.75,5.72,2022-04-30 19:00:06.611218,4.990232139854691
185,20220429  19:25:00,5.73,5.71824,24,5.74,5.71,2022-04-30 19:00:06.611218,4.990250084675901
186,20220429  19:30:00,5.77,5.74454,111,5.8,5.71,2022-04-30 19:00:06.611218,4.990336824280772
187,20220429  19:35:00,5.99,5.8561,538,5.99,5.72,2022-04-30 19:00:06.611218,4.990833382948742
188,20220429  19:40:00,5.98,5.96205,158,5.99,5.9,2022-04-30 19:00:06.611218,4.990988192344361
189,20220429  19:45:00,5.96,5.94974,130,6.0,5.9,2022-04-30 19:00:06.611218,4.991115090409244
190,20220429  19:50:00,5.92,5.91098,150,5.97,5.83,2022-04-30 19:00:06.611218,4.991254370419507
191,20220429  19:55:00,5.83,5.81923,327,5.91,5.78,2022-04-30 19:00:06.611218,4.991535752227587
